,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Akap12,0,0,0,0,0,0,0,0,1,0,0,0
Col4a3bp,1,0,0,0,1,0,0,0,0,0,0,0
Nrg1,1,0,0,0,1,0,0,0,0,0,0,0
Wnt9a,0,0,0,1,0,0,0,0,0,0,0,1
Rcn1,0,0,0,1,0,0,0,0,0,0,0,1
Xkr6,1,0,0,0,1,0,0,0,0,0,0,0
Nuak2,0,0,0,0,0,0,0,0,1,0,0,0
Ppm1d,0,0,0,0,0,0,0,0,1,0,0,0
Add3,0,0,0,0,0,1,0,0,0,0,0,0
Ccdc47,0,0,0,0,0,0,0,0,1,0,0,0
Prkaa2,0,0,0,0,0,0,1,0,0,0,0,0
Insig1,0,0,0,0,0,0,0,0,0,1,0,0
Mboat7l1,0,0,0,0,0,0,0,0,0,1,0,0
Ppp1cc,0,0,0,0,0,0,1,0,0,0,0,0
Ets1,0,0,0,0,0,1,0,0,0,0,0,0
Ret,0,0,0,0,0,1,0,0,0,0,0,0
Arfip1,0,0,0,0,0,0,0,0,0,0,1,0
Robo2,1,0,0,0,1,0,0,0,1,0,0,0
Fn1,1,0,0,0,1,0,0,0,0,0,0,0
Akap11,0,0,0,0,0,0,0,0,1,0,0,0
Hgh1,0,0,0,0,0,0,0,0,0,1,0,0
RGD1560065,0,0,0,0,0,0,1,0,0,0,0,0
B4galt5,0,0,0,0,0,0,0,0,0,0,1,0
Atl2,1,0,0,0,1,0,0,0,0,0,0,0
Ccdc22,0,0,0,0,0,1,0,0,0,0,0,0
Cdc14a,0,0,1,0,0,0,0,0,0,0,0,0
Rapgef2,1,0,0,0,1,0,0,0,0,0,0,0
Mylip,0,1,0,0,0,1,0,0,0,0,0,0
Elf2,0,0,0,0,0,0,0,0,1,0,0,0
Usp25,0,0,0,0,0,0,1,0,0,0,0,0
Gnpnat1,0,0,0,0,0,0,0,0,1,0,0,0
Usp45,0,0,0,0,0,0,0,0,1,0,0,0
Ddx5,0,0,0,0,0,0,0,1,0,0,0,0
Sacm1l,0,0,1,0,0,0,0,0,0,0,0,0
Nr3c2,0,0,0,0,0,1,0,0,0,0,0,0
Ctnnd2,0,0,1,0,0,0,0,0,0,0,0,0
Stat2,0,0,0,0,0,0,0,0,0,1,0,0
Pou3f2,0,0,0,0,0,0,0,0,0,0,1,0
Rtn3,0,0,0,0,0,0,0,1,0,0,0,0
Gng5,0,0,0,1,0,0,0,0,0,0,0,1
Bet1l,0,0,0,0,0,0,0,1,0,0,0,0
Samd4b,0,0,0,0,0,0,0,0,0,1,0,0
Galnt18,0,1,0,0,0,0,0,0,0,0,0,0
Gp1ba,0,0,1,0,0,0,0,0,0,0,0,0
Nus1,0,0,0,0,0,0,0,0,1,0,0,0
Zfp36l2,0,1,0,0,0,0,0,0,0,0,0,0
Thoc2,0,0,0,1,0,0,0,0,0,0,0,1
Naf1,0,0,0,0,0,0,0,1,0,0,0,0
Ehhadh,0,0,0,1,0,0,0,0,0,0,0,1
Chodl,0,0,0,0,0,1,0,0,0,0,0,0
